Date,Region,Category,Supplier,Warehouse,Order Status,Units Sold,Inventory Level,Transportation Cost,Order Accuracy,Lead Time (Days),Backorder,Cost of Goods Sold (COGS),Average Inventory,Warehouse Capacity
01-01-23,Montreal West,Smart Devices,PixelSource Ltd.,Verdun Storage Facility,Fulfilled,314,2036,1188.61,TRUE,9,FALSE,43078.41,2410.1,6017
01-01-23,Montreal East,Consumer Electronics,Montelix Supply Co.,Ville-Marie Hub,Fulfilled,753,1927,11896.17,TRUE,11,FALSE,68710.15,1181.3,11241
02-01-23,Montreal West,Home Appliances,ElectraTech Inc.,Ville-Marie Hub,Fulfilled,801,370,9481.39,TRUE,17,FALSE,25371.99,1164.2,7658
03-01-23,Montreal West,Computer Peripherals,Nova Distribution,Verdun Storage Facility,Canceled,580,2105,5468.22,TRUE,3,FALSE,49036.17,4107.1,10166
04-01-23,Montreal South,Home Appliances,PixelSource Ltd.,Verdun Storage Facility,Fulfilled,1028,5164,14490.56,TRUE,21,FALSE,58432.13,3692.2,7230
05-01-23,Montreal North,Home Appliances,Montelix Supply Co.,Verdun Storage Facility,Canceled,351,1460,8029.18,FALSE,15,FALSE,57968.29,1033,10583
06-01-23,Montreal West,Smart Devices,PixelSource Ltd.,Ville-Marie Hub,Pending,636,1002,16333.48,TRUE,7,FALSE,173212.08,1166.3,6036
06-01-23,Montreal South,Smart Devices,Montelix Supply Co.,Laval Distribution Center,Canceled,1072,834,1948.41,TRUE,25,FALSE,33790.58,2621.9,9509
07-01-23,Montreal West,Computer Peripherals,PixelSource Ltd.,Laval Distribution Center,Fulfilled,626,3033,5407.89,TRUE,8,FALSE,83838.93,3312.9,8299
08-01-23,Montreal East,Smart Devices,PixelSource Ltd.,Laval Distribution Center,Fulfilled,580,3002,11730.78,TRUE,21,FALSE,54976.91,4489.9,10081
09-01-23,Montreal North,Home Appliances,Nova Distribution,Verdun Storage Facility,Fulfilled,119,3991,7525.38,TRUE,21,FALSE,3161.87,4263.4,8765
10-01-23,Montreal East,Computer Peripherals,Nova Distribution,Ville-Marie Hub,Fulfilled,951,2704,11358.16,TRUE,4,FALSE,157445.56,2192,9760
11-01-23,Montreal North,Home Appliances,PixelSource Ltd.,Verdun Storage Facility,Fulfilled,351,1723,6359.4,TRUE,27,FALSE,75929.07,1228.1,9743
11-01-23,Montreal South,Consumer Electronics,ElectraTech Inc.,Ville-Marie Hub,Fulfilled,456,479,8156.27,TRUE,9,FALSE,66667.18,710.8,6711
12-01-23,Montreal North,Consumer Electronics,ElectraTech Inc.,Verdun Storage Facility,Fulfilled,532,713,11081.37,TRUE,8,FALSE,65048.3,1324.5,9743
13-01-23,Montreal North,Consumer Electronics,Nova Distribution,Ville-Marie Hub,Pending,660,1373,1581.85,TRUE,16,TRUE,25233.51,1731.5,5145
14-01-23,Montreal West,Consumer Electronics,ElectraTech Inc.,Laval Distribution Center,Fulfilled,868,2305,3304.97,TRUE,10,FALSE,26086.31,3682.6,9092
15-01-23,Montreal East,Smart Devices,Montelix Supply Co.,Ville-Marie Hub,Fulfilled,1015,3764,7302.7,TRUE,26,TRUE,133041.45,3339.6,7893
16-01-23,Montreal West,Computer Peripherals,PixelSource Ltd.,Verdun Storage Facility,Fulfilled,970,1026,11482.92,TRUE,7,FALSE,143007.44,815.8,7622
16-01-23,Montreal South,Computer Peripherals,PixelSource Ltd.,Ville-Marie Hub,Canceled,586,216,7080.59,TRUE,6,FALSE,46036.69,2358.4,9424
